NPI,provider_state,last_updated,entity_type,provider_gender,provider_age,pair_number,HealthcareProviderTaxonomyCode,HealthcareProviderPrimaryTaxonomySwitch
1538301619,ID,2013-10-03,individual,female,46,1,207V00000X,Y
1285877787,HI,2016-10-05,individual,female,51,1,207P00000X,Y
1619110822,ID,2014-05-18,individual,male,48,1,207V00000X,Y
1811131477,ID,2012-09-19,individual,female,46,1,207P00000X,Y
1881828010,ID,2014-12-09,individual,male,49,2,207V00000X,Y
1235365545,ID,2016-03-29,individual,male,49,1,207P00000X,Y
1558597054,HI,2009-06-10,individual,female,56,1,207P00000X,Y
1134356470,HI,2016-01-10,individual,male,57,1,207P00000X,Y
1083841068,ID,2013-08-02,individual,male,48,1,207V00000X,Y
1043448442,HI,2014-01-03,individual,female,57,2,207V00000X,Y
1083842363,HI,2016-04-22,individual,female,52,2,207V00000X,Y
1053549048,HI,2013-07-01,individual,female,47,1,207V00000X,Y
1205064243,HI,2014-10-31,individual,female,53,2,207V00000X,Y
1346478161,HI,2016-02-15,individual,male,54,1,207V00000X,Y
