NPI,provider_state,HealthcareProviderTaxonomyCode_1,HealthcareProviderTaxonomyCode_2,HealthcareProviderTaxonomyCode_3,HealthcareProviderTaxonomyCode_4,HealthcareProviderTaxonomyCode_5,HealthcareProviderTaxonomyCode_6,HealthcareProviderTaxonomyCode_7,HealthcareProviderTaxonomyCode_8,HealthcareProviderTaxonomyCode_9,HealthcareProviderTaxonomyCode_10,HealthcareProviderTaxonomyCode_11,HealthcareProviderTaxonomyCode_12,HealthcareProviderTaxonomyCode_13,HealthcareProviderTaxonomyCode_14,HealthcareProviderTaxonomyCode_15,HealthcareProviderPrimaryTaxonomySwitch_1,HealthcareProviderPrimaryTaxonomySwitch_2,HealthcareProviderPrimaryTaxonomySwitch_3,HealthcareProviderPrimaryTaxonomySwitch_4,HealthcareProviderPrimaryTaxonomySwitch_5,HealthcareProviderPrimaryTaxonomySwitch_6,HealthcareProviderPrimaryTaxonomySwitch_7,HealthcareProviderPrimaryTaxonomySwitch_8,HealthcareProviderPrimaryTaxonomySwitch_9,HealthcareProviderPrimaryTaxonomySwitch_10,HealthcareProviderPrimaryTaxonomySwitch_11,HealthcareProviderPrimaryTaxonomySwitch_12,HealthcareProviderPrimaryTaxonomySwitch_13,HealthcareProviderPrimaryTaxonomySwitch_14,HealthcareProviderPrimaryTaxonomySwitch_15,last_updated,entity_type,provider_gender,provider_age
1558358747,VT,207P00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-06,organization,NA,NA
1447248299,VT,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-03-27,organization,NA,NA
1407844905,HI,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,female,51
1043208549,HI,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,female,52
1326036724,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-11,individual,male,50
1487642807,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-11,individual,male,49
1497743827,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-11,individual,female,47
1245228600,HI,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,male,57
1184612509,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-11,individual,male,56
1447249263,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-11,individual,female,46
